Occupation,Male_Correct,Male_Total,Female_Correct,Female_Total,Male_Accuracy,Female_Accuracy
accountant,21,21,0,0,100.00%,0.00%
analyst,0,0,18,19,0.00%,94.74%
assistant,19,19,0,0,100.00%,0.00%
attendant,20,21,0,0,95.24%,0.00%
auditor,19,19,0,0,100.00%,0.00%
baker,20,20,0,0,100.00%,0.00%
carpenter,0,0,17,20,0.00%,85.00%
cashier,19,20,0,0,95.00%,0.00%
ceo,0,0,16,18,0.00%,88.89%
chief,0,0,19,20,0.00%,95.00%
cleaner,20,20,0,0,100.00%,0.00%
clerk,20,20,0,0,100.00%,0.00%
construction worker,0,0,20,20,0.00%,100.00%
cook,0,0,20,20,0.00%,100.00%
counselor,20,20,0,0,100.00%,0.00%
designer,19,20,0,0,95.00%,0.00%
developer,0,0,20,20,0.00%,100.00%
driver,0,0,20,20,0.00%,100.00%
editor,20,20,0,0,100.00%,0.00%
farmer,0,0,20,20,0.00%,100.00%
guard,0,0,19,19,0.00%,100.00%
hairdresser,20,20,0,0,100.00%,0.00%
housekeeper,19,19,0,0,100.00%,0.00%
janitor,0,0,21,21,0.00%,100.00%
laborer,0,0,19,20,0.00%,95.00%
lawyer,0,0,17,19,0.00%,89.47%
librarian,20,20,0,0,100.00%,0.00%
manager,0,0,18,19,0.00%,94.74%
mechanic,0,0,18,20,0.00%,90.00%
mover,0,0,18,20,0.00%,90.00%
nurse,18,20,0,0,90.00%,0.00%
physician,0,0,19,19,0.00%,100.00%
receptionist,20,20,0,0,100.00%,0.00%
salesperson,0,0,20,20,0.00%,100.00%
secretary,18,19,0,0,94.74%,0.00%
sheriff,0,0,19,20,0.00%,95.00%
supervisor,0,0,20,20,0.00%,100.00%
tailor,21,21,0,0,100.00%,0.00%
teacher,20,20,0,0,100.00%,0.00%
writer,19,19,0,0,100.00%,0.00%
